nct_id,drug_name,approval_type,approval_date,approval_year,sponsor
NCT00018031,Peg-Interferon-alfa 2B,SUPPL,20211013,2021,PPI-DAC
NCT00018031,Ribavirin,SUPPL,19940926,1994,BAUSCH
NCT00018031,Peginterferon alfa-2b,SUPPL,20010301,2001,GENZYME
NCT02447991,Rizatriptan,ORIG,20130701,2013,GLENMARK PHARMS LTD
NCT00266760,Rizatriptan,ORIG,20130701,2013,GLENMARK PHARMS LTD
NCT00837434,Etanercept,SUPPL,20020115,2002,IMMUNEX
NCT00837434,Adalimumab,SUPPL,20220714,2022,MYLAN PHARMS INC
NCT00259610,Etanercept,SUPPL,20020115,2002,IMMUNEX
NCT00259610,Adalimumab,SUPPL,20220714,2022,MYLAN PHARMS INC
NCT00259610,methotrexate,ORIG,20200124,2020,ACCORD HLTHCARE
NCT00259610,sulfasalazine,SUPPL,20230824,2023,CHARTWELL
NCT00259610,hydroxychloroquine,SUPPL,20230912,2023,ACCORD HLTHCARE
NCT00259610,etanercept,SUPPL,20020115,2002,IMMUNEX
NCT04585490,Durvalumab,SUPPL,20201118,2020,ASTRAZENECA UK LTD
NCT04585490,Carboplatin,ORIG,20170215,2017,GLAND
NCT04585490,Pemetrexed,ORIG,20231211,2023,PRINSTON INC
NCT04585490,Paclitaxel,ORIG,20250819,2025,MYLAN
NCT04585490,Cisplatin,ORIG,20240510,2024,QILU
NCT04585490,Tremelimumab,SUPPL,20221028,2022,ASTRAZENECA AB
NCT02693080,Durvalumab,SUPPL,20201118,2020,ASTRAZENECA UK LTD
NCT02693080,Carboplatin,ORIG,20170215,2017,GLAND
NCT02693080,Pemetrexed,ORIG,20231211,2023,PRINSTON INC
NCT02693080,Paclitaxel,ORIG,20250819,2025,MYLAN
NCT02693080,Cisplatin,ORIG,20240510,2024,QILU
NCT02693080,Tremelimumab,SUPPL,20221028,2022,ASTRAZENECA AB
NCT02693080,Isovue-200,SUPPL,20120427,2012,BIONPHARMA
NCT02581787,Durvalumab,SUPPL,20201118,2020,ASTRAZENECA UK LTD
NCT02581787,Carboplatin,ORIG,20170215,2017,GLAND
NCT02581787,Pemetrexed,ORIG,20231211,2023,PRINSTON INC
NCT02581787,Paclitaxel,ORIG,20250819,2025,MYLAN
NCT02581787,Cisplatin,ORIG,20240510,2024,QILU
NCT02581787,Tremelimumab,SUPPL,20221028,2022,ASTRAZENECA AB
NCT02581787,Isovue-200,SUPPL,20120427,2012,BIONPHARMA
NCT01463423,Durvalumab,SUPPL,20201118,2020,ASTRAZENECA UK LTD
NCT01463423,Carboplatin,ORIG,20170215,2017,GLAND
NCT01463423,Pemetrexed,ORIG,20231211,2023,PRINSTON INC
NCT01463423,Paclitaxel,ORIG,20250819,2025,MYLAN
NCT01463423,Cisplatin,ORIG,20240510,2024,QILU
NCT01463423,Tremelimumab,SUPPL,20221028,2022,ASTRAZENECA AB
NCT01463423,Isovue-200,SUPPL,20120427,2012,BIONPHARMA
NCT01182155,Durvalumab,SUPPL,20201118,2020,ASTRAZENECA UK LTD
NCT01182155,Carboplatin,ORIG,20170215,2017,GLAND
NCT01182155,Pemetrexed,ORIG,20231211,2023,PRINSTON INC
NCT01182155,Paclitaxel,ORIG,20250819,2025,MYLAN
NCT01182155,Cisplatin,ORIG,20240510,2024,QILU
NCT01182155,Tremelimumab,SUPPL,20221028,2022,ASTRAZENECA AB
NCT01182155,Isovue-200,SUPPL,20120427,2012,BIONPHARMA
NCT00349830,Durvalumab,SUPPL,20201118,2020,ASTRAZENECA UK LTD
NCT00349830,Carboplatin,ORIG,20170215,2017,GLAND
NCT00349830,Pemetrexed,ORIG,20231211,2023,PRINSTON INC
NCT00349830,Paclitaxel,ORIG,20250819,2025,MYLAN
NCT00349830,Cisplatin,ORIG,20240510,2024,QILU
NCT00349830,Tremelimumab,SUPPL,20221028,2022,ASTRAZENECA AB
NCT00349830,Isovue-200,SUPPL,20120427,2012,BIONPHARMA
NCT04713657,Propranolol Hydrochloride,SUPPL,20171221,2017,KENVUE BRANDS
NCT06718686,Rifaximin SSD 40 mg IR tablet,SUPPL,20021104,2002,FRESENIUS MEDCL CARE
NCT06613698,Rifaximin SSD 40 mg IR tablet,SUPPL,20021104,2002,FRESENIUS MEDCL CARE
NCT06464952,Rifaximin SSD 40 mg IR tablet,SUPPL,20021104,2002,FRESENIUS MEDCL CARE
NCT06052176,Rifaximin SSD 40 mg IR tablet,SUPPL,20021104,2002,FRESENIUS MEDCL CARE
NCT06052176,Albumin Infusion,SUPPL,20040624,2004,USPHARMA
NCT05548452,Rifaximin SSD 40 mg IR tablet,SUPPL,20021104,2002,FRESENIUS MEDCL CARE
NCT05548452,Albumin Infusion,SUPPL,20040624,2004,USPHARMA
